experiment_type,preprocessing,model,best_params,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_precision_spam,test_recall_spam,test_f1_spam,test_f1_macro,test_f1_weighted
baseline,basic,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7775815930721356,0.012628289405606615,0.8387015601409159,0.7538126361655774,0.6251129177958447,0.6834567901234568,0.7876173027098796,0.8337477763264132
tuned,basic,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7775815930721356,0.012628289405606615,0.8387015601409159,0.7538126361655774,0.6251129177958447,0.6834567901234568,0.7876173027098796,0.8337477763264132
baseline,basic,random_forest,"{""classifier__bootstrap"": true, ""classifier__ccp_alpha"": 0.0, ""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__max_leaf_nodes"": null, ""classifier__max_samples"": null, ""classifier__min_impurity_decrease"": 0.0, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__min_weight_fraction_leaf"": 0.0, ""classifier__monotonic_cst"": null, ""classifier__n_estimators"": 100, ""classifier__n_jobs"": -1, ""classifier__oob_score"": false, ""classifier__random_state"": 42, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.738540443827393,0.005997904054148832,0.8326623049823855,0.8946428571428572,0.45257452574525747,0.6010797840431914,0.7476024616761093,0.8124942363701041
tuned,basic,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7660731183462054,0.008823849439149416,0.8384499245093106,0.8023407022106632,0.5573622402890696,0.6577825159914712,0.7760256453475143,0.8283930101352939
baseline,basic,logistic_regression,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": false, ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__l1_ratio"": 0.0, ""classifier__max_iter"": 2000, ""classifier__n_jobs"": null, ""classifier__penalty"": ""deprecated"", ""classifier__random_state"": 42, ""classifier__solver"": ""lbfgs"", ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7616404099978512,0.010074883692560507,0.8429793658782083,0.8340248962655602,0.5447154471544715,0.659016393442623,0.778511138859265,0.8314328177554124
tuned,basic,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 10000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.779810876032818,0.014435530170978417,0.8417211877201812,0.7643805309734514,0.6242095754290876,0.6872202884137245,0.7906372622799631,0.8364384384260578
baseline,advanced,naive_bayes,"{""classifier__alpha"": 1.0, ""classifier__class_prior"": null, ""classifier__fit_prior"": true, ""classifier__force_alpha"": true, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.5745600281111781,0.005055048396166371,0.7657272269753397,0.8076923076923077,0.2086720867208672,0.3316582914572864,0.59481465297502,0.7113610033200656
tuned,advanced,naive_bayes,"{""classifier__alpha"": 0.1, ""tfidf__max_features"": 10000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.6149006751734603,0.005034439391629298,0.7770508303975843,0.7563805104408353,0.2944896115627823,0.42392717815344605,0.6428528246461458,0.7398103329066268
baseline,advanced,linear_svm,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": ""auto"", ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__loss"": ""squared_hinge"", ""classifier__max_iter"": 5000, ""classifier__multi_class"": ""ovr"", ""classifier__penalty"": ""l2"", ""classifier__random_state"": 42, ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7598676680214899,0.004917368841832644,0.8276295923502768,0.7442129629629629,0.5808491418247516,0.6524606798579401,0.7689273451155185,0.8205079517721209
tuned,advanced,linear_svm,"{""classifier__C"": 1.0, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7600348765215019,0.005928800047388032,0.828384499245093,0.7468060394889663,0.5808491418247516,0.6534552845528455,0.7697042309051854,0.8211884144935391
baseline,advanced,random_forest,"{""classifier__bootstrap"": true, ""classifier__ccp_alpha"": 0.0, ""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__max_leaf_nodes"": null, ""classifier__max_samples"": null, ""classifier__min_impurity_decrease"": 0.0, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__min_weight_fraction_leaf"": 0.0, ""classifier__monotonic_cst"": null, ""classifier__n_estimators"": 100, ""classifier__n_jobs"": -1, ""classifier__oob_score"": false, ""classifier__random_state"": 42, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7355081775140832,0.008364419529343234,0.8233517866129844,0.8622540250447227,0.43541102077687444,0.5786314525810324,0.7334418007890835,0.8020040083497705
tuned,advanced,random_forest,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 50, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100, ""tfidf__max_features"": 3000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}",0.7617100160871665,0.006003442316802235,0.824861600402617,0.7375722543352601,0.5763324299909666,0.6470588235294118,0.7652964800377983,0.8176614210178588
baseline,advanced,logistic_regression,"{""classifier__C"": 1.0, ""classifier__class_weight"": null, ""classifier__dual"": false, ""classifier__fit_intercept"": true, ""classifier__intercept_scaling"": 1, ""classifier__l1_ratio"": 0.0, ""classifier__max_iter"": 2000, ""classifier__n_jobs"": null, ""classifier__penalty"": ""deprecated"", ""classifier__random_state"": 42, ""classifier__solver"": ""lbfgs"", ""classifier__tol"": 0.0001, ""classifier__verbose"": 0, ""classifier__warm_start"": false, ""memory"": null, ""tfidf__analyzer"": ""word"", ""tfidf__binary"": false, ""tfidf__decode_error"": ""strict"", ""tfidf__encoding"": ""utf-8"", ""tfidf__input"": ""content"", ""tfidf__lowercase"": false, ""tfidf__max_df"": 0.95, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__norm"": ""l2"", ""tfidf__preprocessor"": null, ""tfidf__smooth_idf"": true, ""tfidf__stop_words"": null, ""tfidf__strip_accents"": null, ""tfidf__sublinear_tf"": true, ""tfidf__token_pattern"": ""(?u)\\b\\w\\w+\\b"", ""tfidf__tokenizer"": null, ""tfidf__use_idf"": true, ""tfidf__vocabulary"": null, ""transform_input"": null, ""verbose"": false}",0.7447663237222064,0.009766173115018864,0.8349270256668344,0.8517940717628705,0.4932249322493225,0.6247139588100686,0.7594537535985827,0.819127140319213
tuned,advanced,logistic_regression,"{""classifier__C"": 10.0, ""classifier__class_weight"": null, ""classifier__solver"": ""liblinear"", ""tfidf__max_features"": 5000, ""tfidf__min_df"": 1, ""tfidf__ngram_range"": [1, 2], ""tfidf__sublinear_tf"": true}",0.7616259199705789,0.004565337653975559,0.828887770508304,0.7497076023391813,0.5790424570912376,0.6534148827726809,0.7699082432573728,0.821500672661766
