,precision,recall,f1-score,support
0,0.8644951140065147,0.9257063132193931,0.8940542361462018,2867.0
1,0.7643805309734514,0.6242095754290876,0.6872202884137245,1107.0
accuracy,0.8417211877201812,0.8417211877201812,0.8417211877201812,0.8417211877201812
macro avg,0.8144378224899831,0.7749579443242404,0.7906372622799631,3974.0
weighted avg,0.83660713126429,0.8417211877201812,0.8364384384260578,3974.0
